S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
503657.013099 	 56738.942601 	 1102672.369792 	 4325.748174 	 1190.209642 	 230.600019 	 26.297081 	 500.560823 	 589.371078 	 67.210487 	 1279.341055 	 25.506420 	 1.839618 	 22.146598 	 4321.704746 	 82772.694433 	 72271.556067 	 3819306.888268 	 0.000000 	 0.000000
503645.557603 	 56737.652094 	 1102647.289909 	 4325.649786 	 1190.182571 	 230.524572 	 26.288477 	 500.397052 	 589.214551 	 67.192637 	 1279.001284 	 25.500529 	 1.839194 	 22.141482 	 4323.606678 	 82783.506005 	 72272.829829 	 3819331.625746 	 0.000000 	 0.000000
503634.105598 	 56736.361981 	 1102622.217670 	 4325.551429 	 1190.155508 	 230.449368 	 26.279901 	 500.233807 	 589.057397 	 67.174715 	 1278.660152 	 25.494609 	 1.838767 	 22.136343 	 4325.508133 	 82794.314716 	 72274.103253 	 3819356.356654 	 0.000000 	 0.000000
503622.660723 	 56735.072671 	 1102597.161040 	 4325.453133 	 1190.128463 	 230.370824 	 26.270944 	 500.063313 	 588.899542 	 67.156714 	 1278.317496 	 25.488662 	 1.838338 	 22.131179 	 4327.409108 	 82805.120551 	 72275.376338 	 3819381.080963 	 0.000000 	 0.000000
503611.219163 	 56733.783734 	 1102572.111668 	 4325.354865 	 1190.101425 	 230.292852 	 26.262052 	 499.894059 	 588.740936 	 67.138627 	 1277.973212 	 25.482687 	 1.837907 	 22.125991 	 4329.309600 	 82815.923499 	 72276.649083 	 3819405.798642 	 0.000000 	 0.000000
503599.780932 	 56732.495172 	 1102547.069584 	 4325.256625 	 1190.074395 	 230.215410 	 26.253221 	 499.725956 	 588.581622 	 67.120459 	 1277.627391 	 25.476684 	 1.837474 	 22.120778 	 4331.209608 	 82826.723545 	 72277.921484 	 3819430.509662 	 0.000000 	 0.000000
503588.346043 	 56731.206987 	 1102522.034815 	 4325.158415 	 1190.047372 	 230.138459 	 26.244445 	 499.558921 	 588.421639 	 67.102215 	 1277.280118 	 25.470652 	 1.837039 	 22.115541 	 4333.109129 	 82837.520677 	 72279.193542 	 3819455.213993 	 0.000000 	 0.000000
503576.914712 	 56729.919203 	 1102497.007838 	 4325.060235 	 1190.020359 	 230.061758 	 26.235699 	 499.392426 	 588.261023 	 67.083898 	 1276.931471 	 25.464593 	 1.836602 	 22.110280 	 4335.008161 	 82848.314883 	 72280.465254 	 3819479.911608 	 0.000000 	 0.000000
503565.490645 	 56728.632236 	 1102471.996763 	 4324.962117 	 1189.993362 	 229.981659 	 26.226564 	 499.218556 	 588.099699 	 67.065501 	 1276.581286 	 25.458505 	 1.836163 	 22.104994 	 4336.906702 	 82859.106151 	 72281.736619 	 3819504.602479 	 0.000000 	 0.000000
503554.069956 	 56727.345651 	 1102446.993085 	 4324.864028 	 1189.966373 	 229.902144 	 26.217497 	 499.045955 	 587.937616 	 67.047018 	 1276.229455 	 25.452389 	 1.835721 	 22.099684 	 4338.804750 	 82869.894467 	 72283.007636 	 3819529.286575 	 0.000000 	 0.000000
503542.652660 	 56726.059448 	 1102421.996835 	 4324.765969 	 1189.939393 	 229.823172 	 26.208491 	 498.874531 	 587.774818 	 67.028453 	 1275.876071 	 25.446245 	 1.835278 	 22.094349 	 4340.702302 	 82880.679819 	 72284.278303 	 3819553.963865 	 0.000000 	 0.000000
503531.238770 	 56724.773628 	 1102397.008041 	 4324.667939 	 1189.912420 	 229.744703 	 26.199542 	 498.704200 	 587.611344 	 67.009810 	 1275.521221 	 25.440072 	 1.834833 	 22.088989 	 4342.599357 	 82891.462192 	 72285.548618 	 3819578.634320 	 0.000000 	 0.000000
503519.828506 	 56723.488217 	 1102372.027187 	 4324.569940 	 1189.885456 	 229.666491 	 26.190623 	 498.534425 	 587.447233 	 66.991095 	 1275.164986 	 25.433871 	 1.834386 	 22.083605 	 4344.495912 	 82902.241575 	 72286.818581 	 3819603.297912 	 0.000000 	 0.000000
503508.425641 	 56722.203639 	 1102347.062530 	 4324.472004 	 1189.858510 	 229.584822 	 26.181310 	 498.357147 	 587.282405 	 66.972299 	 1274.807197 	 25.427641 	 1.833937 	 22.078196 	 4346.391965 	 82913.017957 	 72288.088188 	 3819627.954614 	 0.000000 	 0.000000
503497.026219 	 56720.919450 	 1102322.105411 	 4324.374098 	 1189.831571 	 229.503751 	 26.172065 	 498.181166 	 587.116811 	 66.953415 	 1274.447744 	 25.421383 	 1.833485 	 22.072762 	 4348.287514 	 82923.791322 	 72289.357440 	 3819652.604394 	 0.000000 	 0.000000
503485.630254 	 56719.635649 	 1102297.155861 	 4324.276222 	 1189.804641 	 229.423234 	 26.162883 	 498.006391 	 586.950494 	 66.934448 	 1274.086722 	 25.415096 	 1.833032 	 22.067303 	 4350.182556 	 82934.561658 	 72290.626335 	 3819677.247220 	 0.000000 	 0.000000
503474.237759 	 56718.352240 	 1102272.213909 	 4324.178375 	 1189.777719 	 229.343233 	 26.153760 	 497.832732 	 586.783496 	 66.915404 	 1273.724220 	 25.408780 	 1.832576 	 22.061819 	 4352.077090 	 82945.328952 	 72291.894870 	 3819701.883064 	 0.000000 	 0.000000
503462.848960 	 56717.069247 	 1102247.280047 	 4324.080561 	 1189.750806 	 229.263495 	 26.144667 	 497.659646 	 586.615853 	 66.896287 	 1273.360321 	 25.402436 	 1.832119 	 22.056311 	 4353.971113 	 82956.093191 	 72293.163045 	 3819726.511897 	 0.000000 	 0.000000
503451.467694 	 56715.787103 	 1102222.362679 	 4323.982811 	 1189.723910 	 229.180242 	 26.135173 	 497.478929 	 586.447488 	 66.877087 	 1272.994852 	 25.396063 	 1.831659 	 22.050777 	 4355.864623 	 82966.854364 	 72294.430857 	 3819751.133691 	 0.000000 	 0.000000
503440.089937 	 56714.505354 	 1102197.452992 	 4323.885091 	 1189.697023 	 229.097599 	 26.125748 	 497.299538 	 586.278348 	 66.857798 	 1272.627701 	 25.389661 	 1.831197 	 22.045219 	 4357.757617 	 82977.612456 	 72295.698306 	 3819775.748415 	 0.000000 	 0.000000
503428.715702 	 56713.224001 	 1102172.551016 	 4323.787401 	 1189.670144 	 229.015524 	 26.116389 	 497.121379 	 586.108478 	 66.838427 	 1272.258967 	 25.383231 	 1.830733 	 22.039635 	 4359.650094 	 82988.367453 	 72296.965390 	 3819800.356036 	 0.000000 	 0.000000
503417.345002 	 56711.943047 	 1102147.656781 	 4323.689742 	 1189.643274 	 228.933976 	 26.107089 	 496.944364 	 585.937920 	 66.818976 	 1271.888738 	 25.376771 	 1.830268 	 22.034026 	 4361.542050 	 82999.119343 	 72298.232107 	 3819824.956526 	 0.000000 	 0.000000
