S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
15407238.412375 	 796986.168039 	 499729.790097 	 1106900.787445 	 194349.610115 	 29926.687932 	 1586.046464 	 805.217425 	 74289.979569 	 3158.090757 	 1575.862554 	 977.016795 	 20.588008 	 6.456598 	 1247.323935 	 2330740.237006 	 1132289.040033 	 2078172.684855 	 0.001357 	 249496.923848 	 71358.801297
15362506.080735 	 803931.015381 	 502429.083112 	 1124318.523537 	 194736.496888 	 29919.846311 	 1596.297153 	 810.062793 	 74303.515029 	 3174.521857 	 1584.738838 	 977.333826 	 20.700080 	 6.492735 	 1250.269907 	 2325664.236797 	 1143443.897809 	 2089326.887212 	 0.001360 	 249496.923848 	 71358.801297
15317781.754916 	 810877.896857 	 505125.455680 	 1141732.894060 	 195124.827837 	 29911.131825 	 1606.705605 	 814.915424 	 74316.391512 	 3191.140445 	 1593.679940 	 977.648331 	 20.812655 	 6.529080 	 1253.217056 	 2320584.353872 	 1154598.188946 	 2100482.455961 	 0.001363 	 249496.923848 	 71358.801297
15273065.217406 	 817826.717333 	 507818.930964 	 1159143.874183 	 195514.619505 	 29900.881588 	 1617.279776 	 819.782375 	 74328.531761 	 3207.950445 	 1602.684925 	 977.960189 	 20.925750 	 6.565636 	 1256.165367 	 2315500.563510 	 1165752.007086 	 2111639.342201 	 0.001366 	 249496.923848 	 71358.801297
15228352.241285 	 824777.167619 	 510509.397273 	 1176551.133041 	 195905.835284 	 29893.610249 	 1628.287234 	 824.800508 	 74339.999488 	 3224.963708 	 1611.757033 	 978.269270 	 21.039388 	 6.602406 	 1259.114826 	 2310412.839482 	 1176905.442340 	 2122797.499566 	 0.001370 	 249496.923848 	 71358.801297
15183647.341475 	 831729.409475 	 513197.033187 	 1193955.002969 	 196298.548705 	 29884.455900 	 1639.417790 	 829.817029 	 74350.827653 	 3242.189528 	 1620.898409 	 978.575473 	 21.153590 	 6.639391 	 1262.065418 	 2305321.157477 	 1188058.582586 	 2133956.883945 	 0.001373 	 249496.923848 	 71358.801297
15138950.535751 	 838683.368479 	 515881.868256 	 1211355.476994 	 196692.774144 	 29873.503288 	 1650.665452 	 834.831607 	 74360.937833 	 3259.629641 	 1630.107593 	 978.878686 	 21.268378 	 6.676596 	 1265.017131 	 2300225.493076 	 1199211.513963 	 2145117.453134 	 0.001376 	 249496.923848 	 71358.801297
15094261.843086 	 845638.972758 	 518563.931611 	 1228752.548240 	 197088.524457 	 29860.831763 	 1662.024419 	 839.843885 	 74370.257218 	 3277.285455 	 1639.383138 	 979.178780 	 21.383775 	 6.714022 	 1267.969947 	 2295125.820347 	 1210364.320196 	 2156279.166905 	 0.001380 	 249496.923848 	 71358.801297
15049580.429847 	 852596.104530 	 521243.222404 	 1246146.139284 	 197485.799864 	 29847.438845 	 1673.548558 	 844.883011 	 74378.719397 	 3295.158146 	 1648.723641 	 979.475612 	 21.499803 	 6.751671 	 1270.923850 	 2290022.111943 	 1221517.082688 	 2167441.986906 	 0.001383 	 249496.923848 	 71358.801297
15004890.977389 	 859553.820705 	 523919.233867 	 1263534.964417 	 197884.408888 	 29849.522847 	 1686.276874 	 850.466477 	 74386.755259 	 3313.280405 	 1658.143496 	 979.769069 	 21.616485 	 6.789547 	 1273.878824 	 2284914.339124 	 1232669.878754 	 2178605.877575 	 0.001387 	 249496.923848 	 71358.801297
