S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
550345.699096 	 58259.684661 	 1099798.469527 	 1594.412752 	 -564.213395 	 362.942530 	 37.939153 	 723.200997 	 871.451820 	 91.163969 	 1736.400786 	 36.166477 	 2.395735 	 28.823697 	 3770.616878 	 85984.211993 	 73712.994844 	 3773207.638480 	 0.000205 	 0.000000 	 0.000000
550327.340733 	 58257.741242 	 1099761.782586 	 1594.359565 	 -564.194574 	 363.092703 	 37.954851 	 723.500233 	 872.275904 	 91.248741 	 1738.044013 	 36.209252 	 2.398470 	 28.857840 	 3773.271391 	 86000.181797 	 73714.721930 	 3773241.213322 	 0.000205 	 0.000000 	 0.000000
550308.994670 	 58255.799125 	 1099725.120227 	 1594.306415 	 -564.175766 	 363.223672 	 37.968541 	 723.761202 	 873.090468 	 91.332544 	 1739.668248 	 36.251780 	 2.401191 	 28.891785 	 3775.928663 	 86016.166757 	 73716.450620 	 3773274.819859 	 0.000206 	 0.000000 	 0.000000
550290.546644 	 58253.846214 	 1099688.254108 	 1594.252969 	 -564.156853 	 363.447852 	 37.991975 	 724.207904 	 873.897868 	 91.415626 	 1741.278184 	 36.294055 	 2.403896 	 28.925528 	 3778.588671 	 86032.166711 	 73718.180898 	 3773308.457750 	 0.000206 	 0.000000 	 0.000000
550272.117133 	 58251.895263 	 1099651.424986 	 1594.199577 	 -564.137959 	 363.642992 	 38.012374 	 724.596741 	 874.699646 	 91.498146 	 1742.876897 	 36.336078 	 2.406587 	 28.959068 	 3781.251397 	 86048.181551 	 73719.912753 	 3773342.126770 	 0.000207 	 0.000000 	 0.000000
550253.705978 	 58249.946255 	 1099614.632549 	 1594.146237 	 -564.119084 	 363.810662 	 38.029901 	 724.930841 	 875.494516 	 91.579969 	 1744.461822 	 36.377848 	 2.409263 	 28.992407 	 3783.916822 	 86064.211164 	 73721.646173 	 3773375.826677 	 0.000207 	 0.000000 	 0.000000
550235.313046 	 58247.999176 	 1099577.876527 	 1594.092951 	 -564.100228 	 363.952333 	 38.044710 	 725.213134 	 876.281291 	 91.660972 	 1746.030598 	 36.419364 	 2.411923 	 29.025541 	 3786.584924 	 86080.255413 	 73723.381144 	 3773409.557182 	 0.000208 	 0.000000 	 0.000000
550216.931978 	 58246.053353 	 1099541.144213 	 1594.039699 	 -564.081383 	 364.075638 	 38.057599 	 725.458834 	 877.058888 	 91.741039 	 1747.581063 	 36.460620 	 2.414568 	 29.058468 	 3789.255681 	 86096.314140 	 73725.117649 	 3773443.317952 	 0.000209 	 0.000000 	 0.000000
550198.450337 	 58244.096884 	 1099504.210918 	 1593.986156 	 -564.062436 	 364.291171 	 38.080129 	 725.888306 	 877.829646 	 91.820416 	 1749.117881 	 36.501614 	 2.417198 	 29.091185 	 3791.929069 	 86112.387192 	 73726.855672 	 3773477.108661 	 0.000209 	 0.000000 	 0.000000
550179.986638 	 58242.142314 	 1099467.313478 	 1593.932664 	 -564.043507 	 364.478646 	 38.099726 	 726.261869 	 878.595104 	 91.899262 	 1750.644119 	 36.542347 	 2.419811 	 29.123693 	 3794.605071 	 86128.474467 	 73728.595202 	 3773510.929095 	 0.000210 	 0.000000 	 0.000000
550161.540713 	 58240.189625 	 1099430.451555 	 1593.879224 	 -564.024596 	 364.639595 	 38.116551 	 726.582576 	 879.354017 	 91.977447 	 1752.157296 	 36.582818 	 2.422409 	 29.155991 	 3797.283669 	 86144.575855 	 73730.336229 	 3773544.779025 	 0.000210 	 0.000000 	 0.000000
