t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
200.000000 	 0.004107 	 2.282301 	 26316.771687 	 24823.003183 	 2.671266
200.200000 	 0.004131 	 2.282301 	 26430.375413 	 25247.901818 	 2.668418
200.400000 	 0.004155 	 2.282301 	 26538.673979 	 25247.901818 	 2.668418
200.600000 	 0.004179 	 2.282301 	 26641.984224 	 25247.901818 	 2.668418
200.800000 	 0.004204 	 2.282301 	 26740.600086 	 25247.901818 	 2.668418
201.000000 	 0.004229 	 2.330021 	 26836.289424 	 25247.901818 	 2.718418
201.200000 	 0.004254 	 2.330021 	 26955.456262 	 25702.282155 	 2.715336
201.400000 	 0.004280 	 2.330021 	 27069.308935 	 25702.282155 	 2.715336
201.600000 	 0.004306 	 2.330021 	 27178.164304 	 25702.282155 	 2.715336
201.800000 	 0.004332 	 2.330021 	 27282.316223 	 25702.282155 	 2.715336
202.000000 	 0.004358 	 2.377775 	 27383.536466 	 25702.282155 	 2.765336
202.200000 	 0.004384 	 2.377775 	 27508.303076 	 26185.068230 	 2.762023
202.400000 	 0.004411 	 2.377775 	 27627.747130 	 26185.068230 	 2.762023
202.600000 	 0.004438 	 2.377775 	 27742.185426 	 26185.068230 	 2.762023
202.800000 	 0.004466 	 2.377775 	 27851.911654 	 26185.068230 	 2.762023
203.000000 	 0.004493 	 2.425565 	 27958.702797 	 26185.068230 	 2.812023
203.200000 	 0.004521 	 2.425565 	 28089.176660 	 26695.800201 	 2.808479
203.400000 	 0.004549 	 2.425565 	 28214.243754 	 26695.800201 	 2.808479
203.600000 	 0.004578 	 2.425565 	 28334.223255 	 26695.800201 	 2.808479
203.800000 	 0.004606 	 2.425565 	 28449.411562 	 26695.800201 	 2.808479
204.000000 	 0.004635 	 2.473393 	 28561.594456 	 26695.800201 	 2.858479
204.200000 	 0.004665 	 2.473393 	 28697.463564 	 27234.366442 	 2.854699
204.400000 	 0.004694 	 2.473393 	 28827.925166 	 27234.366442 	 2.854699
204.600000 	 0.004724 	 2.473393 	 28953.298170 	 27234.366442 	 2.854699
204.800000 	 0.004754 	 2.473393 	 29073.877994 	 27234.366442 	 2.854699
205.000000 	 0.004785 	 2.521262 	 29191.457083 	 27234.366442 	 2.904699
205.200000 	 0.004815 	 2.521262 	 29332.862580 	 27800.820958 	 2.900679
205.400000 	 0.004846 	 2.521262 	 29468.853013 	 27800.820958 	 2.900679
205.600000 	 0.004878 	 2.521262 	 29599.746787 	 27800.820958 	 2.900679
205.800000 	 0.004909 	 2.521262 	 29725.838753 	 27800.820958 	 2.900679
